,Tweet Date,Tweet ID,Tweet text,Tweet Location
115,2020-08-04 00:01:14,1290437601879560194,"“Fertile Ground” explores Mississippi’s agricultural industry and food inequality in Jackson...
https://t.co/vvAWDTGjJX 

Fantastic article by @aliyahveal via @MSFreePress","Jackson, MS"
116,2020-08-03 21:48:42,1290404249671733252,@yahusearch @mynamecregg @gios4ma Definitely can help you get in contact with some folks!,"Jackson, MS"
117,2020-08-01 18:15:02,1289625703802175494,Proud to have a partnership with @DoleSunshine to provide 500 meals to families in West Jackson. Here is the schedule for the month of August. #ShareTheSunshine https://t.co/J66TmaGjYO,"Jackson, MS"
118,2020-07-31 13:39:40,1289194016001556480,"""Wildcat"" mural by Graham Carraway at Belhaven Heights Park near the Museum to Market Trail. ""Wildcat"" is about one of our top agricultural commodities in the state the catfish- a symbol for our state's ingenuity, resilience, &amp; opportunity to make change from the bottom up. https://t.co/dAVm8PupT0","Jackson, MS"
119,2020-07-30 13:45:48,1288833172646629378,"""It is about the power of community to be a transformative instrument of change. Through the use of abstraction, representational elements, and color, I hope to create thoughtful conversation while balancing it with beauty.""- RM #publicart #fertileground","Jackson, MS"
120,2020-07-30 13:45:03,1288832983315734529,"""Seeds of Change"" mural by Ricardo Moody up at Bottom Gardens across from Lake Elementary. “Seeds of Change” is about empowering individuals and neighborhoods towards the direction and future of food sustainability, wellness, &amp; good health. #jxnms https://t.co/2zucRXQcO0","Jackson, MS"
121,2020-07-28 19:22:51,1288193219969388544,"RT @MSFilmOffice: EXT. APARTMENT COMPLEX - DAY. Jackson, MS. Photo from Justin Hardiman @kail_soul (Instagram) https://t.co/DHw40Y0ONV","Jackson, MS"
122,2020-07-28 19:21:31,1288192884534136832,@FoodieForChange @sarah_k_mock Thank you! 😊,"Jackson, MS"
123,2020-07-28 13:07:27,1288098744525893635,RT @jxncat: American Pulse Surveys show over half of Mississippi households have lost at least one source of income recently and about 34%…,"Jackson, MS"
124,2020-07-28 01:57:50,1287930230930202624,You can watch it on her instagram @sabrinahowardart,"Jackson, MS"
